Taxon	Adenoma1.2065.S1.L001	Adenoma10.2757.S10.L001	Adenoma11.2775.S11.L001	Adenoma12.2799.S12.L001	Adenoma13.2803.S13.L001	Adenoma14.2817.S14.L001	Adenoma15.2847.S15.L001	Adenoma16.2873.S16.L001	Adenoma17.2937.S17.L001	Adenoma18.2967.S18.L001	Adenoma19.2971.S19.L001	Adenoma2.2113.S2.L001	Adenoma20.2995.S20.L001	Adenoma21.3129.S21.L001	Adenoma22.3133.S22.L001	Adenoma23.3141.S23.L001	Adenoma24.3217.S24.L001	Adenoma25.3273.S25.L001	Adenoma26.3373.S26.L001	Adenoma27.3379.S27.L001	Adenoma28.3391.S28.L001	Adenoma29.3399.S29.L001	Adenoma3.2123.S3.L001	Adenoma30.3509.S30.L001	Adenoma4.2143.S4.L001	Adenoma5.2243.S5.L001	Adenoma6.2453.S6.L001	Adenoma7.2475.S7.L001	Adenoma8.2555.S8.L001	Adenoma9.2717.S9.L001	Cancer1.2355.S61.L001	Cancer10.2567.S70.L001	Cancer11.2573.S71.L001	Cancer12.2575.S72.L001	Cancer13.2579.S73.L001	Cancer14.2611.S74.L001	Cancer15.2613.S75.L001	Cancer16.2619.S76.L001	Cancer17.2625.S77.L001	Cancer18.2629.S78.L001	Cancer19.2633.S79.L001	Cancer2.2455.S62.L001	Cancer20.2667.S80.L001	Cancer21.2671.S81.L001	Cancer22.2703.S82.L001	Cancer23.2705.S83.L001	Cancer24.2727.S84.L001	Cancer25.2735.S85.L001	Cancer26.2763.S86.L001	Cancer27.2771.S87.L001	Cancer28.2777.S88.L001	Cancer29.2801.S89.L001	Cancer3.2513.S63.L001	Cancer30.2863.S90.L001	Cancer4.2521.S64.L001	Cancer5.2523.S65.L001	Cancer6.2535.S66.L001	Cancer7.2537.S67.L001	Cancer8.2543.S68.L001	Cancer9.2547.S69.L001	Healthy1.2027.S31.L001	Healthy10.3087.S40.L001	Healthy11.3123.S41.L001	Healthy12.3211.S42.L001	Healthy13.3241.S43.L001	Healthy14.3245.S44.L001	Healthy15.3247.S45.L001	Healthy16.3251.S46.L001	Healthy17.3257.S47.L001	Healthy18.3293.S48.L001	Healthy19.3339.S49.L001	Healthy2.2779.S32.L001	Healthy20.3341.S50.L001	Healthy21.3347.S51.L001	Healthy22.3363.S52.L001	Healthy23.3367.S53.L001	Healthy24.3403.S54.L001	Healthy25.3405.S55.L001	Healthy26.3407.S56.L001	Healthy27.3439.S57.L001	Healthy28.3499.S58.L001	Healthy29.3529.S59.L001	Healthy3.3021.S33.L001	Healthy30.3291.66.S60.L001	Healthy4.3023.S34.L001	Healthy5.3043.S35.L001	Healthy6.3061.S36.L001	Healthy7.3063.S37.L001	Healthy8.3073.S38.L001	Healthy9.3075.S39.L001
k__Bacteria;p__Bacteroidetes;c__unassigned;o__unassigned	0.0	89.0	37.0	222.0	7.0	6.0	23.0	12.0	29.0	89.0	6.0	26.0	6.0	116.0	14.0	8.0	12.0	2.0	9.0	28.0	3.0	16.0	43.0	61.0	37.0	0.0	33.0	14.0	21.0	15.0	7.0	18.0	42.0	32.0	10.0	4.0	8.0	11.0	18.0	8.0	41.0	12.0	0.0	6.0	0.0	28.0	44.0	62.0	50.0	27.0	0.0	44.0	86.0	5.0	32.0	3.0	1.0	18.0	48.0	214.0	3.0	2.0	9.0	28.0	1.0	22.0	7.0	6.0	8.0	2.0	9.0	7.0	13.0	102.0	3.0	7.0	47.0	8.0	1.0	4.0	35.0	5.0	33.0	9.0	85.0	11.0	2.0	39.0	4.0	15.0
k__Bacteria;p__DeinococcusThermus;c__Deinococci;o__Deinococcales	13.0	0.0	4.0	9.0	44.0	0.0	1.0	0.0	0.0	260.0	0.0	0.0	0.0	1.0	0.0	8.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	93.0	0.0	0.0	50.0	0.0	1.0	0.0	40.0	1.0	18.0	2.0	100.0	0.0	0.0	0.0	0.0	14.0	1.0	35.0	0.0	0.0	5.0	3.0	0.0	357.0	2.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	95.0	0.0	0.0	1.0	0.0	2.0	0.0	156.0	0.0	0.0	1.0	4.0	0.0	349.0	749.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	332.0	0.0	0.0
k__Bacteria;p__DeinococcusThermus;c__Deinococci;o__Thermales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	124.0	0.0	30.0	125.0	119.0	9.0	12.0	33.0	7.0	470.0	67.0	13.0	1.0	17.0	4.0	15.0	2.0	56.0	17.0	21.0	12.0	3.0	0.0	268.0	8.0	1.0	119.0	5.0	4.0	144.0	117.0	37.0	74.0	10.0	265.0	0.0	20.0	5.0	4.0	110.0	8.0	106.0	1.0	1.0	7.0	19.0	408.0	767.0	3.0	4.0	5.0	1.0	4.0	38.0	182.0	3.0	21.0	4.0	8.0	11.0	12.0	8.0	5.0	148.0	0.0	12.0	12.0	0.0	14.0	9.0	431.0	41.0	3.0	14.0	13.0	49.0	992.0	1245.0	5.0	2.0	4.0	23.0	2.0	4.0	1.0	28.0	0.0	822.0	0.0	1.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	73.0	172.0	689.0	5441.0	313.0	321.0	98.0	2530.0	326.0	316.0	187.0	204.0	93.0	1234.0	85.0	161.0	133.0	22.0	121.0	288.0	20.0	1134.0	48.0	196.0	127.0	24.0	510.0	145.0	96.0	302.0	270.0	80.0	105.0	1172.0	158.0	3.0	4.0	842.0	27.0	98.0	2273.0	640.0	24.0	44.0	63.0	261.0	525.0	2832.0	579.0	142.0	7.0	764.0	88.0	236.0	67.0	13.0	100.0	702.0	351.0	245.0	102.0	13.0	2005.0	993.0	125.0	50.0	458.0	74.0	684.0	13.0	219.0	704.0	364.0	70.0	3547.0	69.0	695.0	1112.0	113.0	258.0	64.0	147.0	150.0	199.0	121.0	852.0	56.0	742.0	33.0	106.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__unassigned	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	10838.0	18459.0	16008.0	13357.0	12436.0	11868.0	14328.0	8208.0	17131.0	19632.0	8709.0	16466.0	11378.0	5774.0	15411.0	12139.0	8995.0	11396.0	9383.0	14596.0	12129.0	20383.0	16187.0	12582.0	20698.0	7876.0	18869.0	15073.0	16732.0	11305.0	11543.0	12307.0	9720.0	14530.0	16776.0	9176.0	9930.0	16987.0	11916.0	10503.0	2150.0	11685.0	12506.0	4742.0	9309.0	16361.0	16704.0	10772.0	10213.0	13846.0	9799.0	19836.0	18083.0	10500.0	18417.0	8470.0	7913.0	4745.0	14039.0	10038.0	12930.0	10080.0	9715.0	20304.0	6625.0	9530.0	17480.0	6960.0	7877.0	9145.0	11839.0	20151.0	13537.0	17726.0	11238.0	10847.0	16072.0	15712.0	10088.0	18209.0	15196.0	17875.0	18374.0	9721.0	18888.0	16199.0	6874.0	19677.0	6760.0	7357.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Natranaerobiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Thermoanaerobacterales	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__unassigned	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	181.0	11.0	0.0	12.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	26.0	4.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	6.0	0.0	3.0	7.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	118.0	0.0	3.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	17.0	12.0	0.0	38.0	7.0	6.0	1.0	0.0	0.0	1.0	37.0	4.0	1.0	0.0	0.0	191.0	25.0	0.0	1.0	0.0	4.0	0.0	0.0	1.0	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales	169.0	224.0	344.0	185.0	295.0	574.0	571.0	512.0	114.0	293.0	280.0	442.0	49.0	103.0	309.0	1688.0	181.0	417.0	400.0	257.0	197.0	137.0	140.0	37.0	151.0	232.0	440.0	31.0	371.0	139.0	164.0	77.0	199.0	82.0	284.0	45.0	200.0	135.0	272.0	177.0	160.0	91.0	31.0	103.0	186.0	100.0	98.0	287.0	1259.0	230.0	26.0	86.0	553.0	334.0	367.0	31.0	165.0	37.0	924.0	52.0	161.0	300.0	193.0	622.0	118.0	172.0	812.0	178.0	386.0	418.0	140.0	116.0	291.0	564.0	2266.0	684.0	121.0	445.0	138.0	265.0	60.0	1332.0	843.0	346.0	1094.0	462.0	414.0	311.0	45.0	57.0
k__Bacteria;p__Firmicutes;c__Incertae_sedis;o__Incertae_sedis	26.0	0.0	1.0	0.0	45.0	1.0	0.0	0.0	1.0	0.0	5.0	24.0	0.0	0.0	2.0	0.0	1.0	12.0	16.0	0.0	15.0	0.0	1.0	1.0	0.0	6.0	0.0	1.0	6.0	18.0	12.0	0.0	3.0	0.0	0.0	0.0	11.0	0.0	4.0	20.0	3.0	12.0	0.0	8.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	8.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	8.0	9.0	1.0	2.0	0.0	0.0	0.0	15.0	6.0	0.0	0.0	1.0	22.0	1.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales	797.0	1487.0	478.0	314.0	10.0	2434.0	75.0	474.0	2765.0	36.0	42.0	108.0	29.0	84.0	88.0	2071.0	493.0	2051.0	276.0	1020.0	2888.0	522.0	328.0	413.0	192.0	1262.0	336.0	4334.0	1611.0	26.0	993.0	1057.0	1184.0	1484.0	1079.0	1432.0	400.0	1822.0	288.0	3396.0	8902.0	130.0	1397.0	1083.0	2104.0	41.0	1268.0	19.0	183.0	13.0	2299.0	1093.0	964.0	433.0	117.0	2192.0	490.0	3.0	1796.0	64.0	390.0	850.0	584.0	561.0	1316.0	1254.0	113.0	246.0	740.0	740.0	1314.0	444.0	198.0	292.0	638.0	209.0	36.0	66.0	1712.0	119.0	740.0	85.0	693.0	759.0	208.0	2514.0	1373.0	48.0	3021.0	3379.0
k__Bacteria;p__Firmicutes;c__unassigned;o__unassigned	50.0	0.0	1.0	0.0	20.0	6.0	0.0	0.0	1.0	0.0	18.0	97.0	0.0	0.0	63.0	1.0	98.0	119.0	171.0	166.0	41.0	0.0	1.0	0.0	0.0	47.0	0.0	0.0	39.0	182.0	172.0	23.0	1.0	62.0	110.0	40.0	139.0	0.0	0.0	2.0	0.0	145.0	0.0	15.0	0.0	0.0	22.0	1.0	3.0	0.0	1.0	0.0	134.0	96.0	34.0	0.0	45.0	0.0	0.0	11.0	9.0	55.0	0.0	148.0	0.0	1.0	120.0	0.0	9.0	56.0	101.0	53.0	166.0	3.0	5.0	151.0	117.0	0.0	0.0	236.0	145.0	93.0	93.0	54.0	19.0	35.0	1.0	0.0	0.0	47.0
k__Bacteria;p__Fusobacteria;c__Fusobacteria;o__Fusobacteriales	0.0	0.0	0.0	0.0	0.0	2.0	0.0	29.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	3.0	3.0	7.0	6.0	10.0	4.0	2.0	402.0	40.0	0.0	0.0	59.0	8953.0	9.0	2.0	503.0	3.0	1.0	3.0	62.0	0.0	1.0	0.0	0.0	16.0	1.0	6.0	1.0	2.0	14060.0	13.0	23.0	2.0	0.0	0.0	0.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	2.0	0.0	0.0	7.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	381.0	1.0	0.0	0.0
k__Bacteria;p__Lentisphaerae;c__Lentisphaeria;o__Victivallales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
