otu_id	rdp_consensus_taxonomy	rdp_confidence_score	Adenoma10.2757.S10.L001	Adenoma11.2775.S11.L001	Adenoma1.2065.S1.L001	Adenoma12.2799.S12.L001	Adenoma13.2803.S13.L001	Adenoma14.2817.S14.L001	Adenoma15.2847.S15.L001	Adenoma16.2873.S16.L001	Adenoma17.2937.S17.L001	Adenoma18.2967.S18.L001	Adenoma19.2971.S19.L001	Adenoma20.2995.S20.L001	Adenoma21.3129.S21.L001	Adenoma2.2113.S2.L001	Adenoma22.3133.S22.L001	Adenoma23.3141.S23.L001	Adenoma24.3217.S24.L001	Adenoma25.3273.S25.L001	Adenoma26.3373.S26.L001	Adenoma27.3379.S27.L001	Adenoma28.3391.S28.L001	Adenoma29.3399.S29.L001	Adenoma30.3509.S30.L001	Adenoma3.2123.S3.L001	Adenoma4.2143.S4.L001	Adenoma5.2243.S5.L001	Adenoma6.2453.S6.L001	Adenoma7.2475.S7.L001	Adenoma8.2555.S8.L001	Adenoma9.2717.S9.L001	Cancer10.2567.S70.L001	Cancer11.2573.S71.L001	Cancer12.2575.S72.L001	Cancer1.2355.S61.L001	Cancer13.2579.S73.L001	Cancer14.2611.S74.L001	Cancer15.2613.S75.L001	Cancer16.2619.S76.L001	Cancer17.2625.S77.L001	Cancer18.2629.S78.L001	Cancer19.2633.S79.L001	Cancer20.2667.S80.L001	Cancer21.2671.S81.L001	Cancer22.2703.S82.L001	Cancer2.2455.S62.L001	Cancer23.2705.S83.L001	Cancer24.2727.S84.L001	Cancer25.2735.S85.L001	Cancer26.2763.S86.L001	Cancer27.2771.S87.L001	Cancer28.2777.S88.L001	Cancer29.2801.S89.L001	Cancer30.2863.S90.L001	Cancer3.2513.S63.L001	Cancer4.2521.S64.L001	Cancer5.2523.S65.L001	Cancer6.2535.S66.L001	Cancer7.2537.S67.L001	Cancer8.2543.S68.L001	Cancer9.2547.S69.L001	Healthy10.3087.S40.L001	Healthy11.3123.S41.L001	Healthy1.2027.S31.L001	Healthy12.3211.S42.L001	Healthy13.3241.S43.L001	Healthy14.3245.S44.L001	Healthy15.3247.S45.L001	Healthy16.3251.S46.L001	Healthy17.3257.S47.L001	Healthy18.3293.S48.L001	Healthy19.3339.S49.L001	Healthy20.3341.S50.L001	Healthy21.3347.S51.L001	Healthy22.3363.S52.L001	Healthy2.2779.S32.L001	Healthy23.3367.S53.L001	Healthy24.3403.S54.L001	Healthy25.3405.S55.L001	Healthy26.3407.S56.L001	Healthy27.3439.S57.L001	Healthy28.3499.S58.L001	Healthy29.3529.S59.L001	Healthy30.3291.66.S60.L001	Healthy3.3021.S33.L001	Healthy4.3023.S34.L001	Healthy5.3043.S35.L001	Healthy6.3061.S36.L001	Healthy7.3063.S37.L001	Healthy8.3073.S38.L001	Healthy9.3075.S39.L001
Acidaminococcus_fermentans_Firmicutes_Negativicutes_Selenomonadales_Acidaminococcaceae_Acidaminococcus	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminococcus_fermentans:Acidaminococcus_intestinalis:Acidaminococcus_intestini_Firmicutes_Negativicutes_Selenomonadales_Acidaminococcaceae_Acidaminococcus	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Acidaminococcus_intestinalis:Acidaminococcus_intestini_Firmicutes_Negativicutes_Selenomonadales_Acidaminococcaceae_Acidaminococcus	NA	NA	0	0	0	1	0	0	0	0	28	0	0	1	0	19	0	0	0	0	0	1	85	0	2	0	0	359	16	0	0	0	0	0	0	1	114	0	0	0	0	115	3	0	0	0	0	0	0	0	0	0	0	0	0	12	60	0	0	0	86	0	1	0	0	0	0	0	0	0	587	1	0	0	3	0	0	0	0	0	449	0	1	0	0	60	0	0	0	0	0	2532
Acinetobacter_baumannii_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Acinetobacter	NA	NA	0	1	6	11	8	0	0	2	0	78	0	0	0	1	0	7	0	5	0	0	0	0	35	0	0	0	20	0	3	0	1	5	1	13	53	0	0	0	0	8	0	0	0	4	11	1	0	128	0	1	0	0	5	0	0	0	2	0	0	0	0	0	0	49	0	0	0	0	1	0	99	0	1	2	2	0	139	302	0	0	0	0	1	0	0	4	0	138	1	0
Acinetobacter_baumannii:Aeromonas_caviae_Proteobacteria_Gammaproteobacteria_unassigned_unassigned_unassigned	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_beijerinckii:Acinetobacter_haemolyticus:Acinetobacter_parvus:Acinetobacter_tandoii:Acinetobacter_tjernbergiae_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Acinetobacter	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Acinetobacter_psychrotolerans_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Acinetobacter	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacillus_minor:Actinobacillus_porcitonsillarum_Proteobacteria_Gammaproteobacteria_Pasteurellales_Pasteurellaceae_Actinobacillus	NA	NA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacillus_porcinus_Proteobacteria_Gammaproteobacteria_Pasteurellales_Pasteurellaceae_Actinobacillus	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Actinobacillus_porcinus:Actinobacillus_rossii_Proteobacteria_Gammaproteobacteria_Pasteurellales_Pasteurellaceae_Actinobacillus	NA	NA	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Actinobacillus_porcinus:Actinobacillus_rossii:Avibacterium_avium:Avibacterium_endocarditidis:Avibacterium_paragallinarum:Haemophilus_haemoglobinophilus:Haemophilus_parainfluenzae:Haemophilus_paraphrohaemolyticus:Haemophilus_parasuis_Proteobacteria_Gammaproteobacteria_Pasteurellales_Pasteurellaceae_unassigned	NA	NA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacillus_porcinus:Actinobacillus_rossii:Haemophilus_parainfluenzae_Proteobacteria_Gammaproteobacteria_Pasteurellales_Pasteurellaceae_unassigned	NA	NA	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Actinobacillus_rossii:Haemophilus_parainfluenzae_Proteobacteria_Gammaproteobacteria_Pasteurellales_Pasteurellaceae_unassigned	NA	NA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_bowdenii_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Actinomyces_cardiffensis_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces	NA	NA	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_catuli_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_europaeus_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_georgiae_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces	NA	NA	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	1	0	0	0	2	3	0	0	0	0	0	3
Actinomyces_graevenitzii_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces	NA	NA	0	0	0	0	3	1	8	9	0	1	0	0	1	0	0	1	0	0	0	4	0	7	2	2	0	0	4	2	0	0	5	0	0	4	0	0	0	0	0	0	0	2	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	6
Actinomyces_lingnae_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces	NA	NA	0	0	0	15	1	0	3	1	0	4	0	1	0	0	0	16	0	0	0	5	0	1	1	0	1	0	5	0	0	1	5	0	0	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	1	1	2	3	1	0	0	2	12	0	0	0	0	0	1	0	1	0	0	1	2	0	4	0	0	0	1	0	0	0	0	0	3	2	0	2	4	0	4
Actinomyces_meyeri_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_meyeri:Actinomyces_odontolyticus_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_naeslundii:Actinomyces_oris_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces	NA	NA	0	5	2	8	0	1	2	0	0	3	1	0	0	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	3	1	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	3	2	2	1	3	0	2	0	0	1	1	0	0
Actinomyces_naeslundii:Actinomyces_oris:Actinomyces_radicidentis:Actinomyces_viscosus_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_naeslundii:Actinomyces_oris:Actinomyces_viscosus_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces	NA	NA	0	7	0	22	0	1	0	1	4	5	3	2	0	3	0	0	0	0	2	35	0	0	2	0	1	0	6	0	0	0	2	0	9	0	0	0	1	5	1	0	3	0	0	0	0	2	0	0	0	3	0	5	2	2	8	0	0	0	0	0	3	0	0	2	0	2	1	0	0	0	1	0	0	5	0	0	5	1	3	1	2	0	0	1	0	1	0	6	1	2
Actinomyces_odontolyticus_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces	NA	NA	16	1	10	0	27	10	13	27	32	109	1	16	9	2	1	39	7	5	0	35	2	31	48	0	11	0	47	15	2	1	14	14	1	57	63	1	2	5	5	21	12	4	0	25	44	13	11	134	6	0	1	5	24	17	23	7	5	0	9	13	3	4	2	65	0	9	15	20	5	0	65	1	14	15	4	1	102	503	29	3	6	5	8	28	9	4	5	172	1	28
Actinomyces_odontolyticus:Actinomyces_turicensis_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
