species	CCIS00146684ST-4-0	CCIS00281083ST-3-0	CCIS02124300ST-4-0	CCIS02379307ST-4-0	CCIS02856720ST-4-0	CCIS03473770ST-4-0	CCIS03857607ST-4-0	CCIS05314658ST-4-0	CCIS06260551ST-3-0	CCIS07277498ST-4-0	CCIS07539127ST-4-0	CCIS07648107ST-4-0	CCIS08668806ST-3-0	CCIS09568613ST-4-0	CCIS10706551ST-3-0	CCIS10793554ST-4-0	CCIS11015875ST-4-0	CCIS11019776ST-4-0	CCIS11354283ST-4-0	CCIS11362406ST-4-0	CCIS11558985ST-4-0	CCIS12370844ST-4-0	CCIS12656533ST-4-0	CCIS13047523ST-4-0	CCIS14449628ST-4-0	CCIS15704761ST-4-0	CCIS15794887ST-4-0	CCIS16326685ST-4-0	CCIS16383318ST-4-0	CCIS16561622ST-4-0	CCIS17669415ST-4-0	CCIS19142497ST-3-0	CCIS20795251ST-4-0	CCIS21126322ST-4-0	CCIS21278152ST-4-0	CCIS22275061ST-4-0	CCIS22416007ST-4-0	CCIS22906510ST-20-0	CCIS22958137ST-20-0	CCIS23164343ST-4-0	CCIS24254057ST-4-0	CCIS24898163ST-4-0	CCIS25399172ST-4-0	CCIS27304052ST-3-0	CCIS27927933ST-4-0	CCIS28384594ST-4-0	CCIS29210128ST-4-0	CCIS29688262ST-20-0	CCIS31434951ST-20-0	CCIS32105356ST-4-0	CCIS32452666ST-4-0	CCIS33816588ST-4-0	CCIS34055159ST-4-0	CCIS34604008ST-4-0	CCIS35092938ST-4-0	CCIS35100175ST-4-0	CCIS36699628ST-4-0	CCIS36797902ST-4-0	CCIS37250421ST-4-0	CCIS38765456ST-20-0	CCIS40244499ST-3-0	CCIS41222843ST-4-0	CCIS41288781ST-4-0	CCIS41548810ST-4-0	CCIS41692898ST-4-0	CCIS41806458ST-4-0	CCIS44093303ST-4-0	CCIS44676181ST-4-0	CCIS44743950ST-4-0	CCIS44757994ST-4-0	CCIS45571137ST-3-0	CCIS45793747ST-4-0	CCIS46047672ST-4-0	CCIS46467422ST-4-0	CCIS47284573ST-4-0	CCIS47745468ST-4-0	CCIS48174381ST-4-0	CCIS48507077ST-4-0	CCIS48579360ST-4-0	CCIS48725289ST-4-0	CCIS50003399ST-4-0	CCIS50148151ST-4-0	CCIS50369211ST-20-0	CCIS50471204ST-4-0	CCIS50561855ST-4-0	CCIS51595129ST-4-0	CCIS51667829ST-4-0	CCIS52234160ST-4-0	CCIS52370277ST-4-0	CCIS53043478ST-4-0	CCIS53355328ST-4-0	CCIS53557295ST-4-0	CCIS54027808ST-4-0	CCIS55230578ST-4-0	CCIS55531770ST-4-0	CCIS56503244ST-3-0	CCIS58234805ST-4-0	CCIS59132091ST-4-0	CCIS59903910ST-4-0	CCIS61287323ST-4-0	CCIS62605362ST-3-0	CCIS62794166ST-4-0	CCIS63448910ST-4-0	CCIS63468405ST-4-0	CCIS63910149ST-4-0	CCIS64773582ST-4-0	CCIS64785924ST-20-0	CCIS65479369ST-4-0	CCIS70398272ST-4-0	CCIS71301801ST-4-0	CCIS71578391ST-4-0	CCIS72607085ST-4-0	CCIS74239020ST-4-0	CCIS74726977ST-3-0	CCIS76563044ST-4-0	CCIS76845094ST-20-0	CCIS77100899ST-4-0	CCIS77252613ST-4-0	CCIS78100604ST-4-0	CCIS78318719ST-4-0	CCIS79210440ST-3-0	CCIS80834637ST-4-0	CCIS81139242ST-4-0	CCIS81710917ST-20-0	CCIS81735969ST-20-0	CCIS81887263ST-4-0	CCIS82146115ST-4-0	CCIS82507866ST-3-0	CCIS82944710ST-20-0	CCIS83445808ST-4-0	CCIS83574003ST-4-0	CCIS83870198ST-4-0	CCIS84543192ST-4-0	CCIS85214191ST-3-0	CCIS87116798ST-4-0	CCIS87167916ST-4-0	CCIS87252800ST-4-0	CCIS87290971ST-4-0	CCIS87605453ST-4-0	CCIS88007743ST-4-0	CCIS88317640ST-4-0	CCIS90164298ST-4-0	CCIS90166425ST-4-0	CCIS90443472ST-4-0	CCIS90903952ST-3-0	CCIS91228662ST-4-0	CCIS93040568ST-20-0	CCIS94417875ST-3-0	CCIS94496512ST-4-0	CCIS94603952ST-4-0	CCIS95097901ST-4-0	CCIS95409808ST-4-0	CCIS96387239ST-4-0	CCIS98482370ST-3-0	CCIS98512455ST-4-0	CCIS98832363ST-4-0	CCMD11006829ST-21-0	CCMD12232071ST-21-0	CCMD13071240ST-21-0	CCMD13934959ST-21-0	CCMD14479708ST-21-0	CCMD18872694ST-21-0	CCMD19497912ST-21-0	CCMD23101338ST-21-0	CCMD25511638ST-21-0	CCMD25963797ST-21-0	CCMD26709089ST-21-0	CCMD26925580ST-21-0	CCMD34381688ST-21-0	CCMD35802077ST-21-0	CCMD40701343ST-21-0	CCMD42428553ST-21-0	CCMD45988061ST-21-0	CCMD46222674ST-21-0	CCMD46947453ST-21-0	CCMD48236717ST-21-0	CCMD50071957ST-21-0	CCMD51864103ST-21-0	CCMD60079086ST-21-0	CCMD63399960ST-21-0	CCMD64503764ST-21-0	CCMD64776337ST-21-0	CCMD72895164ST-21-0	CCMD74930188ST-21-0	CCMD79987997ST-21-0	CCMD82866709ST-21-0	CCMD86114146ST-21-0	CCMD86707194ST-21-0	CCMD87156761ST-21-0	CCMD88272491ST-21-0	CCMD90311071ST-21-0	CCMD93344354ST-21-0	CCMD95433940ST-21-0	CCMD96553385ST-21-0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST
16SrX (Apple proliferation group)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00197027525992	0	0	0.00596993591677	0	0	0	0.00366400503277	0	0	0	0	0	0	0.0011439057271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019830754972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0028405148606	0	0	0	0	0.00293179679901	0	0	0	0	0	0.00144972408285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00126802101768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00291398088297	0	0	0	0	0	0.00404166365707	0	0	0	0	0	0.00267425229843	0	0	0	0	0	0	0	0	0	0.00295969185474	0	0	0	0	0	0	0	0	0	0.00260243850949	0	0.00285269599104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16SrXII (Stolbur group)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00845331015786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00712596727639	0	0	0	0	0	0	0	0.0206679839521	0	0	0	0	0	0	0	0	0.00280938756865	0	0	0	0	0	0.00723972974585	0	0	0	0	0.005620984647	0	0	0	0	0	0.00396423820736	0	0	0	0.00221679283379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00167624881069	0	0	0	0	0	0.00122222223977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0119313990292	0	0	0	0.00220517712719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acaryochloris marina	0	0.000321467987777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000146903139339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000236976611862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000184628537733	0	0	0.000210107285168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter pasteurianus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000337295970272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000368580437036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacterium woodii	0.000350219693609	0	0	0	0	0	0	0	0	0	0	0.000532465110328	0	0	0	0.00023349424766	0	0.00310955683698	0.000659094834428	0	0	0	0	0	0	0.000262060921522	0	0	0	0	0	0.000546285590201	0	0	0	0	0	0	0	0	0	0	0.000541069243056	0	0	0	0	0	0.000409609213134	0	0.000304087879655	0	0	0	0	0.000449334492	0	0	0	0	0	0	0	0	0	0	0.00019070961246	0	0	0.000182724868741	0	0.00107166552586	0	0	0.000732059540442	0	0	0	0	0	0	0	0	0	0	0	0.000848138872642	0	0	0	0	0.000219313380982	0	0	0	0	0.000215747682407	0	0.000192307511608	0	0.000432600231107	0.000250944901792	0	0	0	0	0	0	0	0	0	0.000185054385679	0	0	0	0	0	0	0	0	0	0	0.000261893670069	0	0	0.000380292986708	0	0	0.00210268879228	0	0	0.00076735074851	0.000434273241966	0.000225833675233	0	0	0	0	0	0	0	0	0.000386949311662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000751168001654	0.00134649917584	0.000517336593708	0	0	0.000406845754317	0.000666726346506	0	0.000350000316714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00494456892967	0	0	0	0	0	0.000295199461961	0	0	0	0	0.000933609128115	0
Acetohalobium arabaticum	0	0	0	0	0	0	0	0	0	0	0	0	0.000667939779928	0	0	0	0	0	0	0.000405407117417	0	0.00178614006618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000498044077495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000438801333366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000464780685435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00130365246078	0	0	0	0	0	0	0	0	0	0	0	0	0.000289996817416	0	0.00115485178992	0	0	0	0	0	0	0	0.000461713904361	0	0	0	0	0	0	0.000357008744316	0	0	0	0	0	0	0	0	0.000483486365443	0	0	0	0	0	0
Acholeplasma laidlawii	0.00283881389144	0	0	0	0.000364473987073	0	0.00189388627682	0.00127644813741	0.00336252098601	0.00121839555064	0.000747811262297	0	0.00330571187171	0	0.0110915139232	0	0	0	0	0	0.0011391683645	0	0	0	0	0	0	0	0	0	0	0.00295205771397	0	0.0104856841606	0	0	0	0	0	0	0	0	0	0.00159479598289	0.000427613665901	0	0.00292417768472	0.00113417025729	0	0	0	0	0	0	0	0.00364221950127	0	0.000911156164964	0	0	0	0	0	0	0	0	0	0.000224567459262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00153763650154	0	0	0	0.000635419723059	0	0.00117888042193	0	0	0.000836040299345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00100001031795	0.02192995556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00109296240164	0	0	0	0	0	0	0	0	0	0	0.00177480135796	0.00585858306069	0	0.000997663386212	0	0	0	0.00325031950301	0	0	0	0	0	0	0	0.00586787660037	0.000853675708103	0	0	0	0	0.00489233679552	0	0.0178514560611	0	0	0	0	0	0	0	0.00470169733099	0.000955177526522	0.00313933469995	0.00101446923647	0.00344122156217	0.0022850759617	0	0	0	0	0	0	0	0	0.0199291062291	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter xylosoxidans	0.00019248980271	0	0.00163032659434	0.000878242744296	7.41410270779e-05	0	0.00308202349056	0.00025965412972	0.000342000757689	0	0	0	0	0	0	0	0	0	0	0	0.00648840585478	0	0	0	0	0	0.000247211101475	0	0.000748528207039	0.000671985936097	0	0	0.000568580433758	0	0.000915751188731	0	0	0	0	0	0	0.000872782786096	0.0035686278213	0	0	0.000560225293592	0	0	0	0	0	0	0	0	0	0	0	0.000185346708667	0	0.000308703657265	0	0.000345409421382	0.000334282067102	0	0	0	0	0	0	0.000200860628777	0	0	0	0	0.000402358859548	0.000194882437531	0	0.000879061398796	0.00160642539471	0	0	0.000252384717451	0.000104700234565	0	0.0034406335951	0	0.00015538635438	0.000191038482843	0.000258513213914	0	0.000239806977683	0	0.000480080545149	0	0.000172953455696	0	0	0	0	0	0	0	0	0.00213472313783	0	0	0	0.000102387333596	0.000174636431346	0	0	0	0.00173482370128	0.000450047813851	0	0	0	0.0013462862408	0.000153607010919	0	0	0	0.00100760474816	0.000168767476904	0.00057630279813	0	0.000274842204081	0	0	0.000444659195934	0	0	0	0	0	0.000511551451271	0.00218273132976	0	0	8.92962160162e-05	0	0	0.00191409615787	0	0	0.00104710194059	0	0	0	0	0	0	0	0	0	0	0.000868270384651	0	0	0	0.00148014155364	0	0	0	0.00245974245458	0	0	0.00192369227494	0.00232528396174	0	0	0	0	0.00276727155139	0.00020636257675	0	0	0.00143825580211	0	0	0.000188169092625	0	0.0018626808244	0.000599028315873	0	0.00262315314459	0.00135883149224	0	0.00166245834186	0	0.000342694205766	0.000945496631999	0	0	0	0	0	0.00513135726399	0
Acidaminococcus fermentans	0.0310093355369	0.00115375661927	0.59597067182	0.00601064708728	0.00562062222845	0.0152902107972	0.076665692665	0.0135329892049	0.0183649836679	0.00313151800396	0.0249863007074	0.00231106885657	0.0545181468523	0.0280249189713	0.00101812102468	0.00243225529029	0.135757011969	4.48468453379	0.0211690494215	0.172325200487	0.0270829680313	0.000946669897936	0.00918319159548	0.00464225912193	0.0230149597834	0.00318479897183	0.0445099782633	0.0200350830635	1.14939865255	0.0143277671058	3.33584344817	0.0218136982618	0.000718400223331	0.00404254292241	0.00650840494035	0.00635344965474	0.00180479117313	1.65783478377	0.00522647197316	0.000413204250906	0.000365421227371	0.013325007939	2.27983986864	0	0.0222558001212	0.0159264792157	3.54600880645	0.000485840384976	0.00853360787755	0.0255961600862	0.00158380637085	0.0177512343272	0.0115249962707	0.00562059140427	0.00162023834873	0.0140418387977	0	0.00409824082469	0.0173843604069	0.0175520899805	0.00271624571342	0.00927401217659	0.027101735744	0.0200577646378	0.00162511106364	0.0117424319666	0.0112572735929	0.000865774306317	0.000335173985504	0.00222063621967	0.0148533503897	0.00232568554581	0.0049023009535	0.00342693148389	0.019064235071	0.027701275954	0.00109007400615	0.10551576775	0.12482748626	0.00801080055696	0.00477269792278	0.00757357997594	0.000661442668691	0.0125148927578	0.0533524118711	0.00366952267957	0.0029449551478	0.0253445571849	0.00285802055673	0.0144435400508	0.00227246721961	0.00761512166389	0.0807510681754	0.652694731689	0.0103800011511	0.00181139936339	0.786213140573	0.00202038686441	0.198652911481	1.20899516525	0.00450629602757	0.0322397612642	0	0.0274217198841	0.0161222566751	0.00260990731516	0.00579764574238	0.0132600342763	0.0137907985212	0.0187547550416	0.0272887986346	0	0.0203537863595	0.0582850361274	0.250939476993	0.00567814370936	0.544725434416	3.63765250764	0.00339643756091	4.18102286125	0.304030346534	0.0117075434377	0.226431094063	0.0178586292619	0.00455098384395	0.00264094908276	0.00390670387519	0	0.563399499231	0.376423413976	0.0102595037626	0.11057418167	0.133449840085	0.000392076148068	0.0533010097697	16.3008012228	0.0844599709446	0.00333690751784	0.0535801198245	0.0324373564309	0.0039913922885	1.8844735842	0.0382922296291	0.0179493482057	0.0481823962381	0.180811527304	0.000387618720451	0.665184479862	0.48776631231	0.00420673214415	0.00734815849487	0.00626135429884	0.164333832894	0.0145098919578	0.0294164570357	0.0346876929924	0.00109705786765	0.00227142894643	0.0156266353769	0.00869415825124	0.213314651301	0.00898162502586	0.00304857293927	0.0298231567038	0.034610477318	0.021414161123	0.00338141883738	0.00121529064129	0.00734497890817	0.0339770412786	0.000956582441597	0.00226580509406	0.0564648970143	0.12304786217	0.0156443217975	0.0280079675502	0.00293654901758	0.00492167348029	0.0244564628879	0.0105546311155	0.0106988069872	0.0248166083638	0.000980622266141	0.00454122636328	4.77325720097e-05	0.0173250044159	3.05433099802	0.00931255388353	0.0430605111427	0.00433799375222	0.00432993433011	0.00597316537167	0.00307502416116	0.00204297078349	0.000741253496263	0.000648069317101	0.022720871487	0.00729389191707	0.00275657757568
Acidaminococcus intestini	0.00512469829542	0.00648289465876	0.00964545400019	0.000432993508813	0	0.000894946345385	0	0.000384046051398	0.00101168458755	0	0.0391490637233	0.00476144831749	0.00132612317381	0.00133449551148	0	0.000379630778054	0	0.0715024434421	0	0.000402446290363	0	0.00709238109369	0	0	0.0112256759245	0.983384361561	0.000731283939026	0.0172814072088	0.0636596263597	0.00298173819494	0.216815715752	0.000888188149073	0	0.00126193473282	0.0115128934865	0.0047599576483	0	0.0827456367896	0.00108767618792	0	0.00102664083722	0	0.0246317976305	0.00335879349459	0.000514625969048	0.00165722233749	0.00483889923352	0.00773474574717	0.000665970428988	0.000826571312942	0.000494406690988	0.000664954695436	0.000207558707982	0.00233939202731	0.00101155885637	0.0577141199692	0	0.00164484204461	0	0.00365274900892	0.000423956513812	0.00102176787668	0	0.00234798897114	0.000380475384293	0.00039987924876	0.00465102926214	0.00013513161009	0	0.000594172959592	0.000818236810575	0	0.00172160987726	0.000583507228835	0.000595116016145	0.000576488659751	0.00051042213136	0.0015602296463	0	0.00100027212124	0	0.000373294098094	0	0.00312535513449	0	0.00549835868495	0	0.00169535316261	0.0141472667058	0.00473418476071	0.000709381537479	0.0203247501246	0	0.00603696397271	0.0173950718323	0	0.00596321255474	0.00141905526186	0.0981773093368	0.00604999223454	0	0.000408003234645	0	0.00042098668861	0	0.00391064664435	0	0.000605751215636	0.000516598229815	0.000474693386173	0.000709880791104	0	0	0.000665651210848	0.000793927391974	0.069536921156	0.0015033310909	0.130625906276	0.000454390354385	0.0834661403767	0.00276130879686	0	0.00298063139082	0.0619053963381	0.00170478177467	0	0.000813020484972	0	0.00417840377103	0.00526144863863	0.000915041023017	0.00374283261301	0.0148274884634	0.00293740560032	0.032757312347	0.00151323851586	0	0.0074218349667	0.00242793331565	0.000792450923915	0.00667482518057	0.00141014154845	0.00692041267392	0.000600335685988	0.000820406729453	0.00361371434493	0.0424711591372	0.0547638801159	0.00975448627235	0	0	0	0.000620552904506	0	0.00055096481936	0.00211856770903	0.000513692292328	0.00159537920938	0.00281426923945	0.00081419990935	0.38585172558	0.0895793766933	0.000713740116947	0.0150387523245	0.00198443223087	0.00271002224049	0	0.000569054243885	0.0011464175117	0.00111646266982	0	0.000707301864415	0.00229908068613	0.0440782690729	0.00183134540188	0.20155072196	0.000916683699107	0.00106363889205	0.00078976731553	0	0	0.000438500473021	0.00459171858348	0.00212640832296	4.47011138747e-05	0	0.00643137231423	0.000436056045259	0.000983555412721	0	0	0.00233075597219	0.000479955298894	0.000956611657305	0	0.00424837660866	0	0.00151792501639	0
Acidaminococcus sp. D21	0.160701528183	0.0804364720537	0.099378092822	0.0687983337864	0.00804175986681	0.167555003497	0.168413212891	0.070408930181	0.193345504107	0.0293265805872	1.30647779935	0.0961915410126	0.028732867677	0.0677137595343	0.0349604771703	0.0324797469722	0.105582647708	0.659656738474	0.0333389306433	0.0648390178684	0.0418910482873	0.471843619781	0.0699067079069	0.0214354077977	0.0369202564089	44.2833750192	0.0877546801885	0.151967712255	1.53829785243	0.17945770778	0.0434529052093	0.0365146544666	0.0833499477416	0.0490755793487	0.141466598652	0.487237926758	0.151490387102	0.123218868854	0.0483414985648	0.050735365555	0.0730060760512	0.0698049692559	0.226770500446	0.0666431894227	0.201849138548	0.369194865481	0.0249278352878	0.452207710323	0.0717773097998	0.074391933163	0.0631746256362	0.0450694635851	0.0493531900032	0.0818792877871	0.0606939515524	0.120948852426	0.0608962049014	0.0737138019323	0.0499837027711	0.25467954121	0.0353299540655	0.0596035387611	0.0520066322449	0.159142576418	0.259147805766	0.0728673897736	0.0327296917581	0.0315309273023	0.102886010017	0.0848352820813	0.196378194019	0.129711890557	0.0605755816988	0.00551093975663	0.134893897499	0.0525248859505	0.0476397287258	0.0606760174021	0.11404936584	0.0500139522972	0.0401437964223	0.0298637345873	0.0295954309704	0.0716232176629	0.220007799079	0.0870579485271	0.0469871677249	0.0238606911744	1.53751689637	0.193126016888	0.0583273302016	0.826070124342	0.0986217459833	0.193966759318	0.706040156241	0.106808516551	0.0670378862718	0.0504556474923	0.00416891673038	0.131084072546	0.100814310392	0.0335471648656	0.00424505558572	0.0481799212349	0.0973011180158	0.0863607112513	0.0262424837895	0.0895171882397	0.0459201605448	0.0305915633317	0.106482855822	0.0133722688562	0.119743846371	0.0673051994796	0.174665235401	2.93011525636	0.0618040393699	2.59395109617	0.0671492616735	0.478817305215	0.0739763156912	0.0491978058957	0.0392689076334	1.62863352957	0.0686652968336	0.163508750469	0.0713656255064	0.0317846049688	0.0582448194176	0.109614272139	0.0127089910789	0.268931316166	0.207900087012	0.249681204512	0.357039844376	0.0437160819835	0.0920700374053	0.558160575547	0.0355200110702	0.0308177492742	0.0884049632876	0.115162357032	0.0901756985015	0.0933861976448	0.0323607116875	0.120457978734	0.880082723543	0.0912737653938	0.104358242251	0.0209138896396	0.0186374780666	0.1310292787	0.0985996440763	0.0805242915133	0.0801965455556	0.123976301973	0.0353879362318	0.064406495435	0.0906826366018	0.035734576737	13.3489201943	0.00140187788474	0.134025460899	0.126517363659	0.229313756386	0.153568990084	0.0156735137203	0.127089660947	0.141392471937	0.186078399814	0.021898233969	0.141461352187	0.218414177213	4.12799345857	0.138369277152	9.53767933876	0.0488901357408	0.0330912168354	0.190422993221	0.0872831500328	0.115656077735	0.0672372046642	0.362748279317	0.045678717235	0.00213573467032	0.110516885236	0.222419832295	0.0426368862573	0.110377538212	0.0302431992494	0.0450552408374	0.0326308095062	0.0447961380101	0.0148807287962	0.0339377805522	0.259624812296	0.0510372599182	0.0716802886665	0.0620283660114
Acidimicrobium ferrooxidans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000437610499406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00076768183421	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000759917076464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000430306039804	0	0	0	0	0	0	0	0	0.00163544594817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00261652545418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000630895817235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidiphilium cryptum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000556517199109	0	0	0	0.000267463182164	0	0	0	0	0	0	0	0.000792160910353	0	0	0	0	0	0.00024290966986	0	0.00054023099451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00112072589696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00122775777765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00118583498974	0	0	0	0	0	0.000326564883073	0	0	0	0	0	0	0	0	0.00185223719783	0	0.000954536633218	0	0	0	0	0	0	0	0
Acidiphilium multivorum	0	0	0	0.000255575687741	0	0.000264122351788	0	0	0	0	0	0	0	0	0	0	0.00270769810965	0.0042630835177	0	0	0	0	0	0	0	0	0	0	0.000326741574383	0	0	0	0	0	0.000799472838391	0	0.00066508531742	0	0.000321002029026	0	0	0	0	0	0	0	0	0	0	0	0.00029182499853	0.000784982916112	0	0	0	0.000431214284556	0	0	0	0	0	0	0	0.00242533790187	0	0.000236029898682	0	0	0	0.000350712331003	0	0	0.00135491370177	0	0	0	0.000301278159153	0	0.000560979220458	0.000885620327251	0	0	0	0	0.00218454980109	0	0	0	0.000451376521118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00035754643057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00044201421341	0	0	0	0	0	0	0	0.00257742090736	0	0	0	0.00491256408225	0	0.000230566307554	0.000238849126028	0	0	0.000416170091146	0.00297075917489	0	0	0	0	0	0	0	0	0.000769125882508	0	0	0	0	0	0	0	0	0.00161524902134	0	0	0	0	0	0	0	0	0	0	0.00125246099601	0.00169629889239	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00189806817986	0	0	0	0	0	0	0	0	0	0.000199354524593	0	0
Acidithiobacillus caldus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000865815794693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000672571779312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00048534146181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidithiobacillus ferrivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00112034384339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000461475606589	0	0	0	0	0	0.000667480573884	0	0	0.000399141923152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000417323411917	0	0	0	0	0	0.000975899175431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
